profile_pic,username_digit_ratio,description_length,private,posts_count,followers_count,follows_count,fake,source_dataset
0,0.23076923076923078,0,0,0,32,2471,1,instafake
0,0.14285714285714285,0,0,0,102,332,1,instafake
1,0.0,4,1,1,53,620,1,instafake
0,0.0,0,0,0,9,1770,1,instafake
0,0.3,0,0,0,12,2319,1,instafake
0,0.16666666666666666,0,0,0,7,2116,1,instafake
1,0.0,0,0,0,52,2479,1,instafake
1,0.0,0,0,0,14,1803,1,instafake
1,0.3,0,0,0,22,1330,1,instafake
0,0.0,0,0,0,4,1546,1,instafake
0,0.0,0,0,0,58,2132,1,instafake
1,0.36363636363636365,0,0,0,8,2039,1,instafake
0,0.0,0,0,0,22,4006,1,instafake
0,0.15384615384615385,0,0,0,15,3949,1,instafake
0,0.25,0,0,0,26,3400,1,instafake
1,0.18181818181818182,70,0,0,32,3921,1,instafake
0,0.1,0,0,0,34,7158,1,instafake
1,0.0,129,1,0,47,3999,1,instafake
0,0.0,0,1,1,162,171,1,instafake
1,0.09090909090909091,0,0,2,643,2240,1,instafake
1,0.2,0,0,0,147,2387,1,instafake
0,0.23529411764705882,0,0,0,35,4621,1,instafake
0,0.375,0,0,0,11,4677,1,instafake
1,0.0,0,0,0,52,4614,1,instafake
1,0.6153846153846154,0,0,2,33,5133,1,instafake
0,0.2777777777777778,0,0,0,29,5105,1,instafake
1,0.625,0,0,0,6,961,1,instafake
1,0.0,70,0,3,64,190,1,instafake
0,0.0,0,0,0,18,1741,1,instafake
1,0.0,0,0,3,163,6747,1,instafake
1,0.2,0,0,1,6,181,1,instafake
1,0.0,0,0,1,17,1299,1,instafake
0,0.14285714285714285,0,0,0,16,266,1,instafake
1,0.0,9,0,0,153,1195,1,instafake
0,0.2631578947368421,0,0,0,38,1678,1,instafake
1,0.0,0,0,3,959,2107,1,instafake
1,0.45454545454545453,0,1,8,109,1722,1,instafake
1,0.0,0,1,5,129,1796,1,instafake
1,0.0,0,0,1,35,2553,1,instafake
0,0.0,0,1,2,6,866,1,instafake
1,0.2631578947368421,0,0,1,19,4046,1,instafake
1,0.0,110,0,3,34,938,1,instafake
1,0.2222222222222222,0,0,1,494,3853,1,instafake
1,0.0,24,0,3,30,940,1,instafake
1,0.07692307692307693,85,0,3,26,1392,1,instafake
0,0.0,0,1,0,5,16,1,instafake
1,0.3,0,0,1,160,2246,1,instafake
1,0.0,0,0,4,48,179,1,instafake
1,0.0,6,0,1,55,776,1,instafake
0,0.21428571428571427,0,0,1,11,159,1,instafake
1,0.0,74,0,3,185,1928,1,instafake
1,0.0,0,0,3,11,2258,1,instafake
1,0.375,19,0,1,29,1857,1,instafake
1,0.0,14,0,2,39,481,1,instafake
1,0.09090909090909091,57,0,3,71,31,1,instafake
0,0.0,0,1,0,3,151,1,instafake
0,0.16666666666666666,0,1,0,1,1807,1,instafake
1,0.16666666666666666,0,1,0,3,76,1,instafake
0,0.15384615384615385,0,0,0,11,76,1,instafake
0,0.0,0,1,0,1,67,1,instafake
0,0.0,0,1,0,29,41,1,instafake
0,0.3,0,0,0,0,3,1,instafake
0,0.4444444444444444,0,0,0,13,114,1,instafake
0,0.1,0,1,0,17,183,1,instafake
0,0.0,0,1,0,24,696,1,instafake
0,0.4444444444444444,0,1,0,3,157,1,instafake
0,0.0,0,1,0,0,54,1,instafake
0,0.4444444444444444,24,1,0,11,344,1,instafake
0,0.0,0,1,0,1,282,1,instafake
0,0.0,0,1,0,0,577,1,instafake
0,0.0,0,1,0,0,434,1,instafake
0,0.2,0,0,0,2,57,1,instafake
0,0.0,0,0,0,26,142,1,instafake
0,0.5,0,1,0,49,111,1,instafake
1,0.0,0,1,0,1,127,1,instafake
1,0.0,0,1,0,16,486,1,instafake
1,0.0,0,0,0,25,322,1,instafake
1,0.0,0,1,0,0,194,1,instafake
1,0.1111111111111111,14,1,0,0,174,1,instafake
1,0.0,0,1,0,0,524,1,instafake
1,0.14285714285714285,0,1,1,5,460,1,instafake
1,0.0,0,1,9,0,753,1,instafake
1,0.2857142857142857,0,1,0,0,140,1,instafake
1,0.4,0,1,0,301,7493,1,instafake
1,0.0,0,0,2,368,6929,1,instafake
1,0.0,10,0,5,80,4839,1,instafake
1,0.3333333333333333,0,0,1,28,4518,1,instafake
1,0.2222222222222222,0,0,6,223,1735,1,instafake
1,0.0,0,0,3,140,1104,1,instafake
1,0.1875,130,0,9,85,1401,1,instafake
1,0.1111111111111111,35,0,2,32,2184,1,instafake
1,0.0,36,0,1,34,3681,1,instafake
1,0.0,0,0,1,14,2429,1,instafake
1,0.0,12,0,1,11,1008,1,instafake
1,0.3333333333333333,50,1,1,228,4956,1,instafake
1,0.0,0,0,4,133,145,1,instafake
1,0.3333333333333333,0,0,1,407,3792,1,instafake
1,0.0,0,0,6,64,359,1,instafake
1,0.5555555555555556,0,0,1,288,4276,1,instafake
1,0.0,3,0,3,307,4887,1,instafake
1,0.0,0,0,1,88,266,1,instafake
0,0.4666666666666667,0,0,1,145,2291,1,instafake
0,0.0,0,0,2,34,219,1,instafake
1,0.0,0,0,0,165,618,1,instafake
0,0.375,0,1,0,165,752,1,instafake
0,0.4444444444444444,0,1,0,151,1975,1,instafake
0,0.0,0,0,0,12,25,1,instafake
0,0.0,0,1,0,1338,3364,1,instafake
0,0.3,0,0,0,401,3796,1,instafake
0,0.9090909090909091,0,0,0,228,1779,1,instafake
1,0.6666666666666666,0,1,3,1127,3758,1,instafake
0,0.4,0,0,0,0,0,1,instafake
1,0.05263157894736842,90,0,9,1,0,1,instafake
1,0.26666666666666666,59,0,7,1,1,1,instafake
1,0.0,138,0,6,0,25,1,instafake
1,0.42857142857142855,52,0,6,0,0,1,instafake
1,0.06666666666666667,92,0,9,0,1,1,instafake
1,0.07692307692307693,60,0,5,1,0,1,instafake
1,0.2,108,0,6,0,0,1,instafake
1,0.0,0,0,0,258,238,0,instafake
1,0.0,30,1,29,263,482,0,instafake
1,0.0,9,1,0,51,78,0,instafake
1,0.2222222222222222,22,1,25,297,480,0,instafake
1,0.0,0,1,95,113,242,0,instafake
1,0.0,26,1,340,545,995,0,instafake
1,0.0,0,1,30,52,121,0,instafake
1,0.0,0,0,156,1038,6640,0,instafake
1,0.0,51,0,10,172,227,0,instafake
1,0.0,14,1,4,101,114,0,instafake
1,0.0,31,0,4,250,247,0,instafake
1,0.0,0,1,38,413,677,0,instafake
1,0.0,1,1,7,172,187,0,instafake
1,0.0,0,1,2,337,455,0,instafake
1,0.16666666666666666,29,1,8,114,155,0,instafake
1,0.1111111111111111,0,1,76,174,165,0,instafake
1,0.0,36,1,13,372,362,0,instafake
1,0.0,41,0,17,338,330,0,instafake
1,0.0,47,0,198,2207,593,0,instafake
1,0.0,19,1,19,449,410,0,instafake
1,0.0,105,1,276,594,863,0,instafake
1,0.0,23,1,39,679,764,0,instafake
1,0.0,41,1,95,569,539,0,instafake
1,0.0,0,1,73,540,543,0,instafake
1,0.0,25,1,30,441,368,0,instafake
1,0.0,37,1,120,570,455,0,instafake
1,0.0,16,0,69,368,1114,0,instafake
1,0.0,59,0,21,634,648,0,instafake
1,0.0,18,0,78,687,539,0,instafake
1,0.0,36,0,221,579,413,0,instafake
1,0.0,0,1,312,752,726,0,instafake
1,0.0,0,0,323,861,686,0,instafake
1,0.0,122,1,49,535,368,0,instafake
1,0.0,39,1,374,1872,1806,0,instafake
1,0.0,33,0,39,257,149,0,instafake
1,0.0,63,1,807,3140,496,0,instafake
1,0.1875,0,1,373,491,745,0,instafake
1,0.0,23,1,93,434,528,0,instafake
1,0.0,0,1,49,1073,837,0,instafake
1,0.0,57,1,313,1532,1431,0,instafake
1,0.0,87,0,53,737,875,0,instafake
1,0.0,26,1,2,335,353,0,instafake
1,0.0,47,1,9,399,364,0,instafake
1,0.2,0,1,0,310,330,0,instafake
1,0.0,21,0,8,392,379,0,instafake
1,0.0,0,1,0,163,186,0,instafake
1,0.0,8,1,10,642,707,0,instafake
1,0.0,28,1,21,594,800,0,instafake
1,0.0,11,1,2,295,302,0,instafake
1,0.0,76,0,40,377,539,0,instafake
1,0.0,0,1,2,345,393,0,instafake
1,0.0,0,1,20,667,660,0,instafake
1,0.14285714285714285,44,1,14,347,610,0,instafake
1,0.0,27,1,9,340,378,0,instafake
1,0.0,110,1,188,1136,976,0,instafake
1,0.0,10,1,16,206,201,0,instafake
1,0.06666666666666667,66,1,52,873,913,0,instafake
1,0.0,59,1,10,289,224,0,instafake
1,0.0,0,1,25,510,594,0,instafake
1,0.0,2,1,29,804,648,0,instafake
1,0.0,41,1,78,542,531,0,instafake
1,0.0,57,1,39,516,555,0,instafake
1,0.0,32,1,59,472,431,0,instafake
1,0.0,10,1,2,138,124,0,instafake
1,0.0,79,1,14,201,317,0,instafake
1,0.0,4,1,11,234,242,0,instafake
1,0.0,27,1,37,302,306,0,instafake
1,0.0,0,0,88,586,779,0,instafake
1,0.0,0,1,3,260,410,0,instafake
1,0.0,0,1,25,377,508,0,instafake
1,0.0,45,0,114,561,508,0,instafake
1,0.0,16,1,93,720,643,0,instafake
1,0.0,0,1,38,413,677,0,instafake
1,0.0,67,1,45,415,416,0,instafake
1,0.0,35,1,70,247,289,0,instafake
1,0.0,0,1,1,321,391,0,instafake
1,0.0,6,0,83,847,652,0,instafake
1,0.0,22,1,12,312,323,0,instafake
1,0.0,13,0,60,535,426,0,instafake
1,0.0,28,1,8,323,326,0,instafake
1,0.0,0,1,156,521,1282,0,instafake
1,0.0,24,1,5,258,286,0,instafake
1,0.0,128,1,11,306,329,0,instafake
1,0.0,6,1,12,256,307,0,instafake
1,0.0,14,0,16,346,303,0,instafake
1,0.0,15,0,22,300,267,0,instafake
1,0.0,8,1,2,230,230,0,instafake
1,0.0,10,1,20,516,538,0,instafake
1,0.0,76,1,26,257,254,0,instafake
1,0.0,40,0,21,334,411,0,instafake
1,0.0,27,1,31,195,396,0,instafake
1,0.0,53,1,483,740,940,0,instafake
1,0.0,0,1,8,340,343,0,instafake
1,0.0,0,0,1,404,461,0,instafake
1,0.0,0,1,9,197,320,0,instafake
1,0.0,74,1,33,474,410,0,instafake
1,0.0,19,1,209,213,153,0,instafake
1,0.0625,35,1,61,936,706,0,instafake
1,0.0,0,1,7,207,196,0,instafake
1,0.0,0,1,0,77,92,0,instafake
1,0.0,24,1,75,453,528,0,instafake
1,0.0,12,1,92,293,339,0,instafake
1,0.0,8,1,16,473,497,0,instafake
1,0.0,7,1,56,379,436,0,instafake
1,0.26666666666666666,85,1,236,642,776,0,instafake
1,0.0,26,1,19,350,393,0,instafake
1,0.2,33,1,10,167,184,0,instafake
1,0.0,81,1,60,301,444,0,instafake
1,0.0,74,1,134,536,504,0,instafake
1,0.0,0,1,23,374,311,0,instafake
1,0.3333333333333333,50,1,56,342,343,0,instafake
1,0.0,41,1,11,673,587,0,instafake
1,0.0,60,0,110,426,486,0,instafake
1,0.0,13,1,34,593,923,0,instafake
1,0.0,0,0,13,313,280,0,instafake
1,0.0,0,1,47,292,447,0,instafake
1,0.0,0,1,0,95,106,0,instafake
1,0.0,14,0,5,186,217,0,instafake
1,0.0,43,1,25,275,602,0,instafake
0,0.0,0,1,1,96,174,0,instafake
0,0.4,0,1,53,322,1496,0,instafake
1,0.0,0,1,3,371,376,0,instafake
1,0.0,17,1,6,153,180,0,instafake
1,0.0,0,1,43,585,576,0,instafake
1,0.23529411764705882,0,0,3,486,578,0,instafake
1,0.0,3,1,79,402,524,0,instafake
1,0.4,25,1,10,527,527,0,instafake
1,0.0,0,1,0,237,283,0,instafake
1,0.0,32,1,8,321,330,0,instafake
1,0.0,19,1,3,274,267,0,instafake
1,0.18181818181818182,0,0,11,262,522,0,instafake
1,0.0,0,1,0,109,115,0,instafake
1,0.0,4,1,137,425,477,0,instafake
1,0.0,10,0,0,36,315,0,instafake
1,0.0,0,1,141,1206,962,0,instafake
1,0.0,42,0,2,156,199,0,instafake
1,0.0,45,1,41,284,361,0,instafake
1,0.0,0,0,53,225,446,0,instafake
1,0.0,14,1,8,346,390,0,instafake
1,0.0,61,1,1,339,378,0,instafake
1,0.0,20,0,15,760,577,0,instafake
1,0.0,10,1,8,218,221,0,instafake
1,0.0,23,1,6,319,328,0,instafake
1,0.0,59,1,25,507,493,0,instafake
1,0.0,18,1,21,562,691,0,instafake
1,0.0,0,1,18,524,510,0,instafake
1,0.0,0,1,0,252,579,0,instafake
0,0.047619047619047616,0,1,3,181,199,0,instafake
1,0.0,19,1,24,182,188,0,instafake
1,0.0,22,0,29,777,582,0,instafake
1,0.0,17,1,11,257,281,0,instafake
1,0.0,22,0,20,109,104,0,instafake
1,0.0,0,1,6,127,142,0,instafake
1,0.0,139,1,12,611,412,0,instafake
1,0.0,0,1,19,136,365,0,instafake
1,0.0,34,1,4,264,265,0,instafake
1,0.0,12,1,31,447,387,0,instafake
1,0.0,0,1,1,225,256,0,instafake
1,0.0,25,1,21,278,672,0,instafake
1,0.0,0,0,117,152,221,0,instafake
1,0.0,0,1,35,616,718,0,instafake
1,0.0,65,1,6,357,369,0,instafake
0,0.0,0,1,1,38,158,0,instafake
1,0.0,74,0,6,199,197,0,instafake
1,0.0,49,0,172,452,385,0,instafake
1,0.0,93,1,53,265,312,0,instafake
1,0.0,115,1,24,485,510,0,instafake
1,0.0,1,1,12,247,236,0,instafake
1,0.1875,30,0,11,696,769,0,instafake
1,0.0,35,1,18,342,286,0,instafake
1,0.0,0,1,8,189,272,0,instafake
1,0.0,44,1,43,487,788,0,instafake
1,0.0,0,0,17,68,75,0,instafake
1,0.0,10,0,40,354,363,0,instafake
1,0.0,34,1,30,334,499,0,instafake
1,0.0,32,1,23,304,321,0,instafake
1,0.0,42,0,19,226,248,0,instafake
1,0.0,21,1,58,265,319,0,instafake
1,0.09090909090909091,40,1,42,527,498,0,instafake
1,0.0,0,1,24,327,524,0,instafake
1,0.0,4,1,0,173,195,0,instafake
1,0.0,0,1,34,254,907,0,instafake
1,0.0,0,0,23,233,280,0,instafake
1,0.0,0,1,1,210,220,0,instafake
1,0.0,51,1,136,651,722,0,instafake
1,0.0,0,1,36,237,249,0,instafake
1,0.0,118,1,92,204,445,0,instafake
1,0.0,0,1,3,268,388,0,instafake
1,0.0,46,1,45,293,438,0,instafake
1,0.0,19,1,167,345,332,0,instafake
1,0.0,135,1,245,1725,1466,0,instafake
1,0.0,0,0,63,311,351,0,instafake
1,0.0,23,1,59,224,308,0,instafake
1,0.0,0,1,10,245,395,0,instafake
1,0.0,0,1,43,582,828,0,instafake
1,0.0,83,1,120,447,572,0,instafake
1,0.0,6,0,0,165,205,0,instafake
1,0.0,9,1,16,187,207,0,instafake
1,0.0,0,1,16,334,234,0,instafake
1,0.0,27,1,121,613,555,0,instafake
1,0.0,0,0,155,278,265,0,instafake
1,0.0,0,0,65,277,175,0,instafake
1,0.0,0,1,0,107,260,0,instafake
1,0.0,44,1,19,735,665,0,instafake
1,0.0,39,1,23,242,299,0,instafake
1,0.0,19,1,14,209,216,0,instafake
1,0.0,0,1,7,253,303,0,instafake
1,0.0,4,0,49,305,322,0,instafake
1,0.0,0,1,0,105,167,0,instafake
1,0.0,78,1,19,371,357,0,instafake
1,0.0,21,1,31,378,422,0,instafake
1,0.0,51,1,11,384,219,0,instafake
1,0.0,0,0,225,848,959,0,instafake
1,0.0,0,1,1,143,233,0,instafake
1,0.0,0,1,28,334,870,0,instafake
1,0.15384615384615385,43,0,76,590,801,0,instafake
1,0.0,30,1,122,274,403,0,instafake
1,0.4,0,0,25,179,347,0,instafake
1,0.0,0,1,0,116,187,0,instafake
1,0.0,30,1,9,235,186,0,instafake
1,0.0,0,1,40,222,248,0,instafake
1,0.0,0,1,76,290,289,0,instafake
1,0.3333333333333333,13,1,14,349,427,0,instafake
1,0.0,13,1,7,224,234,0,instafake
1,0.0,19,1,108,550,502,0,instafake
1,0.0,0,1,3,118,92,0,instafake
1,0.0,14,0,1,320,457,0,instafake
1,0.0,11,1,49,684,592,0,instafake
0,0.0,0,1,0,477,474,0,instafake
1,0.0,43,0,21,268,348,0,instafake
1,0.0,115,1,92,303,418,0,instafake
1,0.0,7,1,0,185,486,0,instafake
1,0.0,66,1,11,347,407,0,instafake
1,0.0,0,0,18,340,806,0,instafake
1,0.0,0,1,63,350,385,0,instafake
1,0.0,3,0,17,391,314,0,instafake
1,0.0,9,1,26,404,454,0,instafake
1,0.0,115,1,54,679,666,0,instafake
1,0.0,21,1,23,236,338,0,instafake
1,0.0,150,1,141,898,624,0,instafake
1,0.4444444444444444,8,0,86,489,473,0,instafake
1,0.0,0,0,31,379,386,0,instafake
1,0.0,110,1,101,316,317,0,instafake
1,0.0,5,0,99,473,614,0,instafake
1,0.0,69,1,63,146,163,0,instafake
1,0.0,36,1,39,256,338,0,instafake
1,0.0,0,0,24,1035,828,0,instafake
1,0.0,146,1,155,326,654,0,instafake
1,0.0,43,1,15,342,371,0,instafake
1,0.0,0,1,41,531,686,0,instafake
1,0.0,0,1,34,488,569,0,instafake
1,0.0,35,0,15,1218,351,0,instafake
1,0.0,0,1,23,403,388,0,instafake
1,0.0,25,0,7,393,372,0,instafake
1,0.0,9,1,4,505,382,0,instafake
1,0.0,0,1,8,181,186,0,instafake
1,0.0,46,1,138,319,319,0,instafake
1,0.0,0,1,66,561,737,0,instafake
1,0.0,0,1,140,283,355,0,instafake
1,0.0,42,1,71,384,469,0,instafake
1,0.0,0,1,62,446,496,0,instafake
1,0.0,9,1,440,208,310,0,instafake
1,0.0,130,1,428,1123,1162,0,instafake
1,0.0,6,1,36,283,442,0,instafake
1,0.0,11,1,114,682,762,0,instafake
1,0.0,41,1,23,460,459,0,instafake
1,0.0,25,1,115,461,440,0,instafake
1,0.0,35,1,91,725,733,0,instafake
1,0.0,0,1,33,132,345,0,instafake
1,0.0,50,1,38,424,499,0,instafake
1,0.0,18,1,102,321,306,0,instafake
1,0.0,34,1,88,584,653,0,instafake
1,0.0,58,1,58,589,601,0,instafake
1,0.0,0,1,161,620,623,0,instafake
1,0.0,103,1,132,1500,1446,0,instafake
1,0.07692307692307693,42,1,32,213,235,0,instafake
1,0.0,116,1,33,376,437,0,instafake
1,0.0,98,1,28,150,256,0,instafake
1,0.0,35,0,25,351,381,0,instafake
1,0.0,14,0,71,414,440,0,instafake
1,0.0,35,1,28,473,397,0,instafake
1,0.0,0,1,262,521,860,0,instafake
1,0.0,0,0,26,230,358,0,instafake
1,0.0,30,1,24,350,426,0,instafake
1,0.0,19,1,60,376,636,0,instafake
1,0.0,0,1,29,475,528,0,instafake
1,0.0,22,1,13,288,276,0,instafake
1,0.0,0,0,4,515,571,0,instafake
1,0.0,61,1,7,470,627,0,instafake
1,0.0,41,1,111,367,416,0,instafake
1,0.0,41,1,4,252,265,0,instafake
1,0.0,0,1,23,269,268,0,instafake
1,0.0,33,1,47,312,453,0,instafake
1,0.0,21,1,22,370,387,0,instafake
1,0.0,23,1,58,609,543,0,instafake
1,0.0,63,0,35,330,433,0,instafake
1,0.0,35,0,67,649,630,0,instafake
1,0.0,33,1,67,529,589,0,instafake
1,0.0,0,1,21,348,359,0,instafake
1,0.0,135,1,187,576,680,0,instafake
1,0.0,43,1,69,387,382,0,instafake
1,0.0,25,1,48,120,84,0,instafake
1,0.0,2,1,16,290,517,0,instafake
1,0.0,88,0,171,522,641,0,instafake
1,0.0,17,1,125,639,677,0,instafake
1,0.0,0,1,325,554,561,0,instafake
1,0.0,0,1,36,230,436,0,instafake
1,0.0,22,1,22,545,494,0,instafake
1,0.0,0,1,28,252,509,0,instafake
1,0.0,22,1,29,420,1097,0,instafake
1,0.0,140,0,43,2939,595,0,instafake
1,0.0,82,1,48,456,545,0,instafake
1,0.0,6,1,27,326,784,0,instafake
1,0.0,22,1,16,241,293,0,instafake
1,0.0,0,1,61,349,420,0,instafake
1,0.0,0,1,47,367,524,0,instafake
1,0.0,0,1,94,462,682,0,instafake
1,0.0,0,1,21,202,201,0,instafake
1,0.14285714285714285,0,1,4,95,90,0,instafake
1,0.0,18,0,0,346,318,0,instafake
1,0.0,7,1,588,603,1233,0,instafake
1,0.0,32,1,48,386,482,0,instafake
1,0.0,87,0,79,219,99,0,instafake
1,0.0,0,1,117,99,227,0,instafake
1,0.0,6,1,25,417,375,0,instafake
1,0.0,33,0,12,266,248,0,instafake
1,0.0,35,0,117,592,108,0,instafake
1,0.14285714285714285,0,1,101,308,423,0,instafake
1,0.0,0,0,142,261,102,0,instafake
1,0.0,4,1,16,571,755,0,instafake
1,0.0,0,1,11,311,406,0,instafake
1,0.0,0,1,15,115,143,0,instafake
1,0.0,146,0,83,623,579,0,instafake
1,0.0,0,1,4,473,794,0,instafake
1,0.0,27,1,44,575,537,0,instafake
1,0.0,54,1,70,399,826,0,instafake
1,0.0,0,1,2,119,116,0,instafake
1,0.0,0,1,99,260,344,0,instafake
1,0.0,57,0,33,436,348,0,instafake
1,0.0,37,1,48,917,591,0,instafake
1,0.0,9,0,72,153,367,0,instafake
1,0.0,0,1,249,676,701,0,instafake
1,0.0,60,1,14,369,430,0,instafake
1,0.0,90,0,25,373,1477,0,instafake
1,0.4444444444444444,0,0,1,429,449,0,instafake
1,0.25,146,1,66,234,196,0,instafake
1,0.0,93,0,163,481,452,0,instafake
1,0.0,7,0,65,337,296,0,instafake
1,0.0,0,0,11,208,571,0,instafake
1,0.0,22,0,30,873,4935,0,instafake
1,0.0,14,1,33,194,219,0,instafake
1,0.0,0,1,9,371,442,0,instafake
1,0.0,0,1,40,83,252,0,instafake
0,0.0,0,1,0,22,28,0,instafake
1,0.0,0,1,82,244,263,0,instafake
1,0.0,7,1,59,134,365,0,instafake
1,0.19047619047619047,15,1,44,349,352,0,instafake
1,0.0,26,1,0,427,509,0,instafake
1,0.07142857142857142,0,1,49,60,108,0,instafake
1,0.0,0,1,56,249,171,0,instafake
1,0.0,9,1,61,378,578,0,instafake
1,0.0,3,1,5,92,196,0,instafake
1,0.0,0,0,39,221,224,0,instafake
1,0.0,20,0,0,66,61,0,instafake
1,0.0,32,1,31,462,483,0,instafake
1,0.0,0,1,125,630,755,0,instafake
1,0.0,0,0,2,126,88,0,instafake
1,0.0,20,1,38,486,479,0,instafake
1,0.0,0,1,43,51,48,0,instafake
1,0.0,48,1,58,626,679,0,instafake
1,0.0,11,1,44,748,996,0,instafake
1,0.0,23,0,52,1058,614,0,instafake
1,0.0,19,1,31,633,661,0,instafake
1,0.16666666666666666,131,1,75,207,201,0,instafake
1,0.0,20,1,3,200,257,0,instafake
1,0.1,40,1,10,216,268,0,instafake
1,0.0,76,0,411,911,343,0,instafake
1,0.0,107,1,49,199,209,0,instafake
1,0.0,8,1,27,658,604,0,instafake
1,0.0,32,1,3,409,504,0,instafake
1,0.0,0,1,5,158,209,0,instafake
1,0.0,0,0,174,872,772,0,instafake
1,0.0,53,1,131,203,250,0,instafake
1,0.0,0,1,1,93,51,0,instafake
1,0.0,0,1,1,66,84,0,instafake
1,0.0,18,0,17,422,377,0,instafake
1,0.0,0,1,8,106,115,0,instafake
1,0.0,10,1,100,238,100,0,instafake
1,0.0,0,1,84,325,523,0,instafake
1,0.0,42,1,85,278,458,0,instafake
1,0.0,2,1,115,1817,758,0,instafake
1,0.0,0,0,9,70,78,0,instafake
1,0.0,24,0,383,788,664,0,instafake
1,0.0,139,0,216,522,856,0,instafake
1,0.0,34,0,6,88,146,0,instafake
1,0.0,45,1,124,427,407,0,instafake
1,0.0,77,0,22,150,149,0,instafake
1,0.0,0,1,124,1099,584,0,instafake
1,0.18181818181818182,0,1,74,504,465,0,instafake
1,0.0,39,1,5,83,119,0,instafake
1,0.0,66,0,210,715,598,0,instafake
1,0.0,0,1,20,226,261,0,instafake
