profile_pic,username_digit_ratio,description_length,private,posts_count,followers_count,follows_count,fake,source_dataset,log_followers,log_follows,log_posts,followers_per_post,follows_to_followers,engagement_ratio,social_reach,has_no_posts,has_many_follows,has_many_followers,follow_activity_score
1,0.1333333333333333,0,0,131,1078,179,0,instafake,6.983789965258135,5.19295685089021,4.882801922586371,8.166666666666666,0.16589434661723818,0.1041335453100159,0.8569157392686805,0,0,1,0
0,0.08,0,0,0,115,289,1,ifsg,4.7535901911063645,5.66988092298052,0.0,115.0,2.4913793103448274,0.0,0.2839506172839506,1,0,0,2
1,0.38,0,0,21,128,636,1,ifsg,4.859812404361672,6.456769655572163,3.091042453358316,5.818181818181818,4.930232558139535,0.027450980392156862,0.16732026143790849,0,0,0,1
1,0.45,0,0,2,74,270,1,ifsg,4.31748811353631,5.602118820879701,1.0986122886681098,24.666666666666668,3.6,0.005797101449275362,0.2144927536231884,0,0,0,1
1,0.27,19,0,8,126,860,1,ifsg,4.844187086458591,6.7580945044277305,2.1972245773362196,14.0,6.771653543307087,0.008105369807497468,0.1276595744680851,0,0,0,1
1,0.0,41,1,12,468,456,0,instafake,6.150602768446279,6.124683390894205,2.5649493574615367,36.0,0.9722814498933902,0.012972972972972972,0.505945945945946,0,0,0,0
1,0.0,5,1,67,460,380,0,instafake,6.133398042996649,5.942799375126701,4.219507705176107,6.764705882352941,0.824295010845987,0.07966706302021404,0.5469678953626635,0,0,0,0
0,0.0,0,0,0,69,694,1,ifsg,4.248495242049359,6.543911845564792,0.0,69.0,9.914285714285715,0.0,0.09031413612565445,1,0,0,2
1,0.0,36,0,1,34,3681,1,instafake,3.5553480614894135,8.211211361793023,0.6931471805599453,17.0,105.17142857142858,0.00026910656620021526,0.00914962325080732,0,1,0,2
1,0.0,16,0,58,2556,1074,0,ifsg,7.846589975291186,6.980075940561763,4.07753744390572,43.32203389830509,0.4200234649980446,0.015973561002478657,0.7039383090057836,0,0,1,0
1,0.0,0,0,79,150,184,0,instafake,5.017279836814924,5.220355825078324,4.382026634673881,1.875,1.218543046357616,0.23582089552238805,0.44776119402985076,0,0,0,1
1,0.0,0,1,68,319,429,0,instafake,5.768320995793772,6.063785208687608,4.23410650459726,4.6231884057971016,1.340625,0.09078771695594126,0.4259012016021362,0,0,0,1
1,0.4,0,1,0,21,76,1,ifsg,3.091042453358316,4.343805421853684,0.0,21.0,3.4545454545454546,0.0,0.21428571428571427,1,0,0,2
1,0.0,51,0,13,318,306,0,instafake,5.765191102784844,5.726847747587197,2.6390573296152584,22.714285714285715,0.9592476489028213,0.0208,0.5088,0,0,0,0
1,0.18,0,0,0,42,146,1,ifsg,3.7612001156935624,4.990432586778736,0.0,42.0,3.395348837209302,0.0,0.2222222222222222,1,0,0,2
1,0.07,0,1,0,47,98,1,ifsg,3.871201010907891,4.59511985013459,0.0,47.0,2.0416666666666665,0.0,0.3219178082191781,1,0,0,2
1,0.0,148,0,9,413,138,0,ifsg,6.025865973825314,4.9344739331306915,2.302585092994046,41.3,0.3333333333333333,0.016304347826086956,0.7481884057971014,0,0,0,0
1,0.1666666666666666,0,1,36,163,109,0,instafake,5.099866427824199,4.700480365792417,3.6109179126442243,4.405405405405405,0.6646341463414634,0.13186813186813187,0.5970695970695971,0,0,0,0
1,0.0,0,1,27,472,534,0,instafake,6.159095388491933,6.282266746896006,3.332204510175204,16.857142857142858,1.1289640591966172,0.026812313803376366,0.46871896722939427,0,0,0,1
1,0.0,44,1,56,606,722,0,instafake,6.408528791059498,6.583409222158765,4.04305126783455,10.631578947368421,1.1894563426688634,0.042136945071482315,0.45598194130925507,0,0,0,1
1,0.0,0,1,114,210,367,0,instafake,5.351858133476067,5.908082938168931,4.74493212836325,1.826086956521739,1.7393364928909953,0.1972318339100346,0.3633217993079585,0,0,0,1
1,0.0,35,0,117,592,108,0,instafake,6.385194398997726,4.6913478822291435,4.770684624465665,5.016949152542373,0.1821247892074199,0.16690442225392296,0.8445078459343794,0,0,0,0
1,0.0,16,0,69,367,1114,0,instafake,5.908082938168931,7.016609683894219,4.248495242049359,5.242857142857143,3.027173913043478,0.0465587044534413,0.247638326585695,0,0,0,1
1,0.0,35,0,67,649,630,0,instafake,6.476972362889683,6.447305862541213,4.219507705176107,9.544117647058824,0.9692307692307692,0.05234375,0.50703125,0,0,0,0
1,0.0,0,1,3,261,488,0,instafake,5.568344503761097,6.192362489474872,1.3862943611198906,65.25,1.8625954198473282,0.004,0.348,0,0,0,1
1,0.14,0,0,0,57,167,1,ifsg,4.060443010546419,5.123963979403259,0.0,57.0,2.8793103448275863,0.0,0.25333333333333335,1,0,0,2
0,0.2307692307692307,0,0,0,32,2471,1,instafake,3.4965075614664802,7.812782818577581,0.0,32.0,74.87878787878788,0.0,0.012779552715654952,1,1,0,3
1,0.0,12,0,107,365,627,0,instafake,5.902633333401366,6.4425401664681985,4.68213122712422,3.3796296296296298,1.7131147540983607,0.10775427995971802,0.3675730110775428,0,0,0,1
1,0.0,10,0,2,260,296,0,instafake,5.564520407322694,5.6937321388027,1.0986122886681098,86.66666666666667,1.1340996168582376,0.003590664272890485,0.466786355475763,0,0,0,1
1,0.0,46,1,590,175,199,0,ifsg,5.170483995038151,5.298317366548036,6.3818160174060985,0.2961082910321489,1.1306818181818181,1.5733333333333333,0.4666666666666667,0,0,0,1
0,0.07,0,1,0,0,601,1,ifsg,0.0,6.400257445308821,0.0,0.0,601.0,0.0,0.0,1,0,0,2
1,0.0,6,0,0,165,205,0,instafake,5.111987788356544,5.327876168789581,0.0,165.0,1.2349397590361446,0.0,0.444743935309973,1,0,0,2
1,0.0,27,1,28,116,138,0,ifsg,4.762173934797756,4.9344739331306915,3.367295829986474,4.0,1.1794871794871795,0.10980392156862745,0.4549019607843137,0,0,0,1
1,0.0,42,1,71,384,469,0,instafake,5.953243334287785,6.152732694704104,4.276666119016055,5.333333333333333,1.2181818181818183,0.08313817330210772,0.4496487119437939,0,0,0,1
1,0.0,0,0,142,261,102,0,instafake,5.568344503761097,4.634728988229636,4.962844630259907,1.8251748251748252,0.3893129770992366,0.3901098901098901,0.717032967032967,0,0,0,0
1,0.0,0,1,0,105,174,0,instafake,4.663439094112067,5.1647859739235145,0.0,105.0,1.6415094339622642,0.0,0.375,1,0,0,2
0,0.25,0,0,0,46,18,1,ifsg,3.8501476017100584,2.9444389791664403,0.0,46.0,0.3829787234042553,0.0,0.7076923076923077,1,0,0,1
1,0.0,7,1,80,302,307,0,instafake,5.713732805509369,5.730099782973574,4.394449154672439,3.728395061728395,1.0132013201320131,0.13114754098360656,0.49508196721311476,0,0,0,1
1,0.0,0,0,6,64,359,1,instafake,4.174387269895637,5.886104031450156,1.9459101490553132,9.142857142857142,5.523076923076923,0.014150943396226415,0.1509433962264151,0,0,0,1
1,0.0,0,0,1,149,123,0,instafake,5.0106352940962555,4.820281565605037,0.6931471805599453,74.5,0.82,0.003663003663003663,0.5457875457875457,0,0,0,0
1,0.0,21,0,8,392,379,0,instafake,5.973809611869261,5.940171252720432,2.1972245773362196,43.55555555555556,0.9643765903307888,0.010362694300518135,0.5077720207253886,0,0,0,0
1,0.0,14,0,13,228,346,0,ifsg,5.43372200355424,5.849324779946859,2.6390573296152584,16.285714285714285,1.5109170305676856,0.022608695652173914,0.39652173913043476,0,0,0,1
1,0.0,25,1,27,422,466,0,instafake,6.0473721790462776,6.1463292576688975,3.332204510175204,15.071428571428571,1.1016548463356974,0.030371203599550055,0.4746906636670416,0,0,0,1
1,0.0,14,1,103,330,272,0,instafake,5.802118375377063,5.60947179518496,4.6443908991413725,3.173076923076923,0.8217522658610272,0.17081260364842454,0.5472636815920398,0,0,0,0
1,0.0,0,1,65,604,674,0,instafake,6.405228458030842,6.51471269087253,4.189654742026425,9.151515151515152,1.1140495867768596,0.0508209538702111,0.472243940578577,0,0,0,1
1,0.0,13,0,60,535,426,0,instafake,6.284134161070802,6.056784013228625,4.110873864173311,8.770491803278688,0.7947761194029851,0.062370062370062374,0.5561330561330561,0,0,0,0
1,0.0,19,1,209,213,153,0,instafake,5.365976015021851,5.0369526024136295,5.3471075307174685,1.0142857142857142,0.7149532710280374,0.5694822888283378,0.5803814713896458,0,0,0,0
0,0.0,0,0,0,17,1,1,ifsg,2.8903717578961645,0.6931471805599453,0.0,17.0,0.05555555555555555,0.0,0.8947368421052632,1,0,0,1
1,0.0,35,1,28,473,397,0,instafake,6.161207321695077,5.986452005284438,3.367295829986474,16.310344827586206,0.8375527426160337,0.03214695752009185,0.5430539609644087,0,0,0,0
1,0.0,82,0,12,313,376,0,ifsg,5.749392985908253,5.932245187448011,2.5649493574615367,24.076923076923077,1.197452229299363,0.017391304347826087,0.45362318840579713,0,0,0,1
1,0.0,18,1,133,1008,517,0,ifsg,6.9167150203536085,6.249975242259483,4.897839799950911,7.522388059701493,0.512388503468781,0.0871559633027523,0.6605504587155964,0,0,1,0
1,0.0,16,1,314,428,413,0,instafake,6.061456918928017,6.025865973825314,5.752572638825633,1.3587301587301588,0.9627039627039627,0.37292161520190026,0.5083135391923991,0,0,0,0
1,0.2666666666666666,59,0,7,1,1,1,instafake,0.6931471805599453,0.6931471805599453,2.0794415416798357,0.125,0.5,2.3333333333333335,0.3333333333333333,0,0,0,0
1,0.0,0,1,0,66,161,1,ifsg,4.204692619390966,5.087596335232384,0.0,66.0,2.4029850746268657,0.0,0.2894736842105263,1,0,0,2
1,0.0,12,1,31,447,387,0,instafake,6.104793232414985,5.961005339623274,3.4657359027997265,13.96875,0.8638392857142857,0.037125748502994015,0.5353293413173653,0,0,0,0
1,0.0,0,1,60,414,496,0,instafake,6.028278520230698,6.208590026096629,4.110873864173311,6.786885245901639,1.1951807228915663,0.06586169045005488,0.4544456641053787,0,0,0,1
1,0.0,56,1,8,13,73,0,instafake,2.6390573296152584,4.30406509320417,2.1972245773362196,1.4444444444444444,5.214285714285714,0.09195402298850575,0.14942528735632185,0,0,0,1
1,0.0,1,1,170,456,653,0,instafake,6.124683390894205,6.483107351457199,5.14166355650266,2.6666666666666665,1.4288840262582057,0.15315315315315314,0.41081081081081083,0,0,0,1
1,0.0833333333333333,12,1,15,412,414,0,instafake,6.023447592961033,6.028278520230698,2.772588722239781,25.75,1.0024213075060533,0.018137847642079808,0.49818621523579204,0,0,0,1
1,0.0,0,1,312,752,726,0,instafake,6.6240652277998935,6.588926477533519,5.746203190540153,2.402555910543131,0.9641434262948207,0.21095334685598377,0.5084516565246788,0,0,0,0
1,0.0,96,1,17,122,143,0,ifsg,4.812184355372417,4.969813299576001,2.8903717578961645,6.777777777777778,1.1626016260162602,0.06390977443609022,0.45864661654135336,0,0,0,1
1,0.1818181818181818,51,0,2,158,303,0,instafake,5.0689042022202315,5.717027701406222,1.0986122886681098,52.666666666666664,1.9056603773584906,0.004329004329004329,0.341991341991342,0,0,0,1
1,0.0,0,1,103,265,264,0,ifsg,5.583496308781699,5.579729825986222,4.6443908991413725,2.548076923076923,0.9924812030075187,0.19433962264150945,0.5,0,0,0,0
1,0.0,33,1,38,419,411,0,instafake,6.040254711277414,6.021023349349527,3.6635616461296463,10.743589743589743,0.9785714285714285,0.0457280385078219,0.5042117930204573,0,0,0,0
1,0.1,0,0,3,401,2117,0,instafake,5.996452088619021,7.658227526161352,1.3862943611198906,100.25,5.266169154228856,0.0011909487892020642,0.1591901548233426,0,1,0,2
1,0.0,36,1,13,372,362,0,instafake,5.921578419643816,5.8944028342648505,2.6390573296152584,26.571428571428573,0.9705093833780161,0.017687074829931974,0.5061224489795918,0,0,0,0
1,0.2142857142857142,105,0,5,222,440,0,instafake,5.407171771460119,6.089044875446846,1.791759469228055,37.0,1.9730941704035874,0.007541478129713424,0.334841628959276,0,0,0,1
1,0.0,42,0,400,18842,744,0,ifsg,9.843896771122491,6.61338421837956,5.993961427306569,46.98753117206982,0.039484158573475564,0.020421708275897277,0.9619645683361413,0,0,1,0
1,0.0,0,0,57,483,1216,0,ifsg,6.182084906716632,7.104144092987527,4.060443010546419,8.327586206896552,2.512396694214876,0.033529411764705884,0.28411764705882353,0,0,0,1
1,0.0,9,1,4,191,280,0,instafake,5.2574953720277815,5.638354669333745,1.6094379124341003,38.2,1.4583333333333333,0.00847457627118644,0.4046610169491525,0,0,0,1
1,0.0,19,0,78,947,582,0,ifsg,6.854354502255021,6.368187186350492,4.3694478524670215,11.987341772151899,0.6139240506329114,0.050980392156862744,0.6189542483660131,0,0,1,0
1,0.0,72,1,54,427,548,0,instafake,6.059123195581797,6.3080984415095305,4.007333185232471,7.763636363636364,1.280373831775701,0.055327868852459015,0.4375,0,0,0,1
1,0.0,103,0,117,12033,248,0,ifsg,9.395491255780296,5.517452896464707,4.770684624465665,101.97457627118644,0.020608276549775636,0.009526135808500244,0.9797264289203713,0,0,1,0
1,0.0,0,1,49,1073,837,0,instafake,6.97914527506881,6.731018100482083,3.912023005428146,21.46,0.7793296089385475,0.02564102564102564,0.5614861329147044,0,0,1,0
1,0.0,42,0,19,226,248,0,instafake,5.424950017481403,5.517452896464707,2.995732273553991,11.3,1.092511013215859,0.04,0.47578947368421054,0,0,0,1
1,0.0,24,0,3,30,940,1,instafake,3.4339872044851463,6.846943139585379,1.3862943611198906,7.5,30.322580645161292,0.003089598352214212,0.030895983522142123,0,0,0,1
1,0.0,11,0,0,534,539,1,instafake,6.282266746896006,6.29156913955832,0.0,534.0,1.0074766355140188,0.0,0.4972067039106145,1,0,0,2
1,0.1538461538461538,50,1,0,51,3241,1,instafake,3.9512437185814275,8.08394570229562,0.0,51.0,62.32692307692308,0.0,0.01548739750986942,1,1,0,3
1,0.0,41,1,17,363,355,0,instafake,5.8971538676367405,5.87493073085203,2.8903717578961645,20.166666666666668,0.9752747252747253,0.02364394993045897,0.5048678720445062,0,0,0,0
1,0.0,3,1,79,402,524,0,instafake,5.998936561946683,6.263398262591624,4.382026634673881,5.025,1.3002481389578164,0.08522114347357065,0.4336569579288026,0,0,0,1
1,0.0,69,1,63,146,163,0,instafake,4.990432586778736,5.099866427824199,4.1588830833596715,2.28125,1.1088435374149659,0.2032258064516129,0.47096774193548385,0,0,0,1
1,0.3,0,0,0,46,92,1,ifsg,3.8501476017100584,4.532599493153256,0.0,46.0,1.9574468085106382,0.0,0.33093525179856115,1,0,0,2
0,0.31,0,0,2,12,15,1,ifsg,2.5649493574615367,2.772588722239781,1.0986122886681098,4.0,1.1538461538461537,0.07142857142857142,0.42857142857142855,0,0,0,1
1,0.0,33,1,47,312,453,0,instafake,5.746203190540153,6.118097198041348,3.871201010907891,6.5,1.4472843450479234,0.06135770234986945,0.4073107049608355,0,0,0,1
1,0.0,0,0,143,124,115,0,instafake,4.8283137373023015,4.7535901911063645,4.969813299576001,0.8611111111111112,0.92,0.5958333333333333,0.5166666666666667,0,0,0,0
1,0.0,0,1,36,230,436,0,instafake,5.442417710521793,6.07993319509559,3.6109179126442243,6.216216216216216,1.8874458874458875,0.053973013493253376,0.3448275862068966,0,0,0,1
1,0.0,0,1,7,254,345,0,ifsg,5.541263545158426,5.846438775057725,2.0794415416798357,31.75,1.3529411764705883,0.011666666666666667,0.42333333333333334,0,0,0,1
1,0.08,150,0,38,870,72,0,ifsg,6.769641976852503,4.290459441148391,3.6635616461296463,22.307692307692307,0.08266360505166476,0.04029692470837752,0.9225874867444327,0,0,0,0
1,0.0,148,0,990,18515,1000,0,ifsg,9.826390502151161,6.90875477931522,6.898714534329988,18.683148335015137,0.054007344998919855,0.0507276081164173,0.9487087517934003,0,0,1,0
1,0.0,0,1,6,647,454,0,instafake,6.473890696352274,6.12029741895095,1.9459101490553132,92.42857142857143,0.7006172839506173,0.0054446460980036296,0.5871143375680581,0,0,0,0
1,0.1333333333333333,19,0,216,514,573,0,instafake,6.244166900663736,6.352629396319567,5.37989735354046,2.3686635944700463,1.112621359223301,0.19852941176470587,0.4724264705882353,0,0,0,1
1,0.0,78,1,9,834,358,0,ifsg,6.727431724850855,5.883322388488279,2.302585092994046,83.4,0.4287425149700599,0.0075440067057837385,0.6990779547359598,0,0,0,0
0,0.67,0,0,0,2,0,1,ifsg,1.0986122886681098,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,1,0,0,1
1,0.0,8,1,31,284,289,0,instafake,5.652489180268651,5.66988092298052,3.4657359027997265,8.875,1.0140350877192983,0.05400696864111498,0.49477351916376305,0,0,0,1
1,0.0,28,1,6,19,20,0,ifsg,2.995732273553991,3.044522437723423,1.9459101490553132,2.7142857142857144,1.0,0.15,0.475,0,0,0,0
1,0.0,0,0,148,15338538,61,0,ifsg,16.545879108168176,4.127134385045092,5.003946305945459,102943.20805369127,3.976910708379723e-06,9.648859739480788e-06,0.9999959579101091,0,0,1,0
1,0.3,0,0,1,160,2246,1,instafake,5.081404364984463,7.717351272185329,0.6931471805599453,80.0,13.950310559006212,0.0004154549231408392,0.06647278770253427,0,1,0,2
1,0.4,0,0,0,61,992,1,instafake,4.127134385045092,6.900730664045173,0.0,61.0,16.0,0.0,0.05787476280834915,1,0,0,2
1,0.0,34,1,99,507,582,0,instafake,6.230481447578482,6.368187186350492,4.605170185988092,5.07,1.1456692913385826,0.0908256880733945,0.4651376146788991,0,0,0,1
1,0.0,125,1,66,349,806,0,instafake,5.857933154483459,6.693323668269949,4.204692619390966,5.208955223880597,2.302857142857143,0.05709342560553633,0.30190311418685123,0,0,0,1
1,0.0,0,1,28,198,233,0,instafake,5.293304824724492,5.455321115357702,3.367295829986474,6.827586206896552,1.170854271356784,0.06481481481481481,0.4583333333333333,0,0,0,1
1,0.0,0,0,156,1038,6640,0,instafake,6.946013991099227,8.801017833540714,5.056245805348308,6.611464968152866,6.390760346487006,0.020315145201198072,0.13517385076181795,0,1,1,2
1,0.31,0,1,9,99,488,0,ifsg,4.605170185988092,6.192362489474872,2.302585092994046,9.9,4.88,0.015306122448979591,0.1683673469387755,0,0,0,1
0,0.0,0,0,0,26,1919,1,instafake,3.295836866004329,7.560080465021827,0.0,26.0,71.07407407407408,0.0,0.013360739979445015,1,1,0,3
1,0.0,0,1,93,1051,694,0,ifsg,6.9584483932976555,6.543911845564792,4.543294782270004,11.180851063829786,0.6596958174904943,0.05326460481099656,0.6019473081328751,0,0,1,0
0,0.0,0,1,1,5,243,1,instafake,1.791759469228055,5.497168225293202,0.6931471805599453,2.5,40.5,0.004016064257028112,0.020080321285140562,0,0,0,1
1,0.3076923076923077,10,0,8,287,1459,0,instafake,5.662960480135946,7.286191714702382,2.1972245773362196,31.88888888888889,5.065972222222222,0.0045792787635947334,0.16428162564396107,0,1,0,2
1,0.0,8,1,8,166,163,0,ifsg,5.117993812416755,5.099866427824199,2.1972245773362196,18.444444444444443,0.9760479041916168,0.024242424242424242,0.503030303030303,0,0,0,0
1,0.0,23,1,59,224,308,0,instafake,5.41610040220442,5.733341276897746,4.0943445622221,3.7333333333333334,1.3688888888888888,0.11069418386491557,0.4202626641651032,0,0,0,1
0,0.0,0,1,0,0,577,1,instafake,0.0,6.359573868672378,0.0,0.0,577.0,0.0,0.0,1,0,0,2
1,0.0,54,0,75,1759,643,0,ifsg,7.473069088032197,6.467698726104354,4.330733340286331,23.144736842105264,0.3653409090909091,0.031210986267166042,0.7320016645859343,0,0,1,0
1,0.0,23,1,58,609,543,0,instafake,6.413458957167357,6.298949246855942,4.07753744390572,10.322033898305085,0.8901639344262295,0.05030355594102342,0.5281873373807459,0,0,0,0
1,0.0,0,1,185,447,749,0,instafake,6.104793232414985,6.620073206530356,5.225746673713202,2.403225806451613,1.671875,0.1545530492898914,0.37343358395989973,0,0,0,1
1,0.0,44,1,12,309,364,0,ifsg,5.736572297479192,5.8998973535824915,2.5649493574615367,23.76923076923077,1.1741935483870967,0.017804154302670624,0.45845697329376855,0,0,0,1
1,0.1904761904761904,15,1,44,349,352,0,instafake,5.857933154483459,5.8664680569332965,3.8066624897703196,7.7555555555555555,1.0057142857142858,0.06267806267806268,0.49715099715099714,0,0,0,1
0,0.33,0,0,0,2997,764,1,ifsg,8.005700678662542,6.639875833826536,0.0,2997.0,0.25483655770513675,0.0,0.7966507177033493,1,0,1,1
1,0.0,0,0,1,35,2553,1,instafake,3.58351893845611,7.845416036592485,0.6931471805599453,17.5,70.91666666666667,0.0003862495171881035,0.013518733101583623,0,1,0,2
1,0.0,0,1,2,345,393,0,instafake,5.846438775057725,5.976350909297934,1.0986122886681098,115.0,1.1358381502890174,0.0027063599458728013,0.4668470906630582,0,0,0,1
1,0.0,0,1,0,1,15,0,instafake,0.6931471805599453,2.772588722239781,0.0,1.0,7.5,0.0,0.058823529411764705,1,0,0,2
1,0.0,0,1,40,222,248,0,instafake,5.407171771460119,5.517452896464707,3.713572066704308,5.414634146341464,1.1121076233183858,0.08492569002123142,0.4713375796178344,0,0,0,1
1,0.0,0,1,94,462,682,0,instafake,6.137727054086234,6.52649485957079,4.553876891600541,4.863157894736842,1.4730021598272138,0.08209606986899563,0.4034934497816594,0,0,0,1
1,0.0,0,0,1,331,333,0,ifsg,5.805134968916488,5.811140992976701,0.6931471805599453,165.5,1.0030120481927711,0.0015037593984962407,0.49774436090225566,0,0,0,1
1,0.0,48,0,222,5282,652,0,ifsg,8.572249397164315,6.481577129276431,5.407171771460119,23.68609865470852,0.123414726481166,0.037405223251895534,0.8899747262005054,0,0,1,0
1,0.0,97,0,9,250,796,0,instafake,5.5254529391317835,6.680854678790215,2.302585092994046,25.0,3.1713147410358564,0.008595988538681949,0.2387774594078319,0,0,0,1
1,0.0,26,0,559,2487,999,0,ifsg,7.81923445385907,6.907755278982137,6.327936783729195,4.441071428571429,0.4015273311897106,0.1603097218239174,0.7132205334098078,0,0,1,0
1,0.0,103,0,24,617,272,0,ifsg,6.42648845745769,5.60947179518496,3.2188758248682006,24.68,0.4401294498381877,0.02696629213483146,0.6932584269662921,0,0,0,0
1,0.0,86,1,54,259,1371,0,ifsg,5.560681631015528,7.22402480828583,4.007333185232471,4.709090909090909,5.273076923076923,0.03310852237890864,0.15879828326180256,0,0,0,1
1,0.0,14,0,71,414,440,0,instafake,6.028278520230698,6.089044875446846,4.276666119016055,5.75,1.0602409638554218,0.08304093567251462,0.4842105263157895,0,0,0,1
1,0.0,18,0,5,26,129,1,ifsg,3.295836866004329,4.867534450455582,1.791759469228055,4.333333333333333,4.777777777777778,0.03205128205128205,0.16666666666666666,0,0,0,1
1,0.0,0,0,14,143,500,1,ifsg,4.969813299576001,6.2166061010848646,2.70805020110221,9.533333333333333,3.4722222222222223,0.021739130434782608,0.2220496894409938,0,0,0,1
1,0.0,0,1,38,413,677,0,instafake,6.025865973825314,6.519147287940395,3.6635616461296463,10.58974358974359,1.6352657004830917,0.034830430797433545,0.3785517873510541,0,0,0,1
1,0.0,81,0,344,669987,150,0,ifsg,13.415015080758993,5.017279836814924,5.84354441703136,1941.9913043478261,0.0002238846068884816,0.0005133271057603061,0.9997746732762506,0,0,1,0
1,0.0,0,0,63,311,351,0,instafake,5.7430031878094825,5.863631175598097,4.1588830833596715,4.859375,1.125,0.09502262443438914,0.46907993966817496,0,0,0,1
1,0.2222222222222222,37,1,0,11,1898,1,instafake,2.4849066497880004,7.549082710812286,0.0,11.0,158.16666666666666,0.0,0.005759162303664921,1,1,0,3
